Transaction_ID,Date,Customer_Name,Category,Quantity,Unit_Price,Payment_Method
1001,2026-01-02,Ananya,Electronics,2.0,1200,UPI
1002,2026-01-03,Rahul,Clothing,1.0,800,Card
1003,2026-01-05,Priya,Beauty,3.0,450,Cash
1004,2026-01-07,Arjun,Electronics,1.0,2500,UPI
1005,2026-01-09,Sneha,Home,2.0,1500,Card
1006,2026-01-11,Unknown,Clothing,4.0,700,Cash
1007,2026-01-13,Kavya,Beauty,2.0,600,UPI
1008,2026-01-15,Rohan,Electronics,1.0,1800,Card
1009,2026-01-17,Meera,Home,3.0,900,UPI
1010,2026-01-19,Aditya,Clothing,2.0,650,Cash
1011,2026-01-21,Nisha,Electronics,1.0,2200,Card
1012,2026-01-23,Kiran,Beauty,2.0,500,UPI
1013,2026-01-27,Aarav,Home,4.0,1300,Cash
1014,2026-01-27,Diya,Clothing,1.0,900,Card
1015,2026-01-29,Ishaan,Electronics,2.0,1600,UPI
1016,2026-02-01,Ananya,Clothing,3.0,750,Cash
1017,2026-02-03,Rahul,Beauty,1.0,550,Unknown
1018,2026-02-05,Priya,Electronics,2.0,2100,Card
1019,2026-02-07,Arjun,Home,2.0,1200,Cash
1020,2026-02-09,Sneha,Clothing,3.0,800,UPI
1021,2026-02-11,Vikram,Electronics,1.0,650,Card
1022,2026-02-13,Kavya,Electronics,4.0,1900,UPI
1023,2026-02-15,Rohan,Home,2.0,1100,Cash
1024,2026-02-17,Meera,Clothing,1.0,700,Card
1025,2026-02-19,Aditya,Electronics,3.0,2400,UPI
1026,2026-02-21,Nisha,Beauty,2.0,550,Cash
1027,2026-02-23,Kiran,Home,1.0,1400,UPI
1028,2026-02-25,Aarav,Clothing,2.0,850,Card
1029,2026-02-27,Diya,Electronics,2.0,1700,Cash
1030,2026-03-01,Ishaan,Beauty,3.0,500,UPI
1031,2026-03-03,Ananya,Home,1.0,1250,Card
1032,2026-03-05,Rahul,Clothing,2.0,900,UPI
1033,2026-03-07,Priya,Electronics,3.0,2000,Cash
1034,2026-03-09,Arjun,Beauty,2.0,650,Card
1035,2026-03-11,Sneha,Home,1.0,1450,UPI
1036,2026-03-13,Vikram,Clothing,4.0,780,Cash
1037,2026-03-15,Kavya,Electronics,2.0,2300,UPI
1038,2026-03-17,Rohan,Beauty,3.0,600,Card
1039,2026-03-19,Meera,Home,1.0,1350,Cash
1040,2026-03-21,Aditya,Clothing,2.0,820,UPI
